Year,Name,College,POS,Height (in),Weight (lbs),BMI,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
1987,Mark Garalczyk,Western Michigan,DT,76.9,272.0,32.33490203107746,5.01,14.0,28.0,106.0,4.56,
1987,Everett Gay,Texas,WR,74.1,204.0,26.118550814907092,4.6,2.0,37.5,123.0,4.38,
1987,John Gesek,Cal State Sacramento,OT,76.5,274.0,32.91417830748857,5.21,23.0,25.5,107.0,4.87,
1987,Charles Glaze,South Carolina State,SS,71.8,197.0,26.864122717856006,4.5,,29.5,115.0,4.5,
1987,Kevin Gogan,Washington,OG,79.0,310.0,34.919083480211505,5.46,,20.5,88.0,4.88,
1987,Chris Goode,Alabama,CB,71.6,192.0,26.328766268218846,4.6,2.0,33.0,116.0,4.25,
1987,Alex Gordon,Cincinnati,OLB,76.8,239.0,28.485955132378475,4.85,13.0,29.0,115.0,4.62,
1987,Sonny Gordon,Ohio State,FS,70.5,195.0,27.581107590161462,4.6,19.0,30.5,106.0,,
1987,Rick Graf,Wisconsin,OLB,77.0,240.0,28.456738067127677,4.66,18.0,34.0,122.0,4.02,
1987,Don Graham,Penn State,ILB,73.5,240.0,31.231431348049423,4.85,18.0,29.0,105.0,4.21,
1987,Marcus Greenwood,UCLA,FB,72.3,206.0,27.704221499094178,4.65,13.0,32.0,112.0,4.12,
1987,Wayne Haddix,Liberty (VA),CB,73.1,200.0,26.31180044950886,4.67,8.0,37.0,122.0,4.35,
1987,Delton Hall,Clemson,CB,72.0,202.0,27.393132716049383,4.48,3.0,30.5,112.0,4.61,
1987,Ron Hall,Hawaii,TE,76.1,239.0,29.012417094182393,4.71,20.0,28.5,111.0,4.14,
1987,Shawn Halloran,Boston College,QB,76.3,217.0,26.203902990368775,5.14,10.0,23.5,94.0,4.53,
1987,Tracy Ham,Georgia Southern,RB,70.3,196.0,27.880512091038412,4.74,6.0,28.0,110.0,4.28,
1987,James Hansen,Utah,OT,76.8,258.0,30.75052897135417,5.09,21.0,24.0,108.0,4.43,
1987,Jim Harbaugh,Michigan,QB,74.3,203.0,25.850784984666216,,,,,,
1987,Archie Harris,William & Mary (VA),OT,77.9,270.0,31.278374401202285,5.08,31.0,,,,
1987,William Harris,Bishop (TX),TE,76.3,244.0,29.464296449999917,4.71,10.0,28.0,107.0,4.43,
1987,Lakei Heimuli,Brigham Young,RB,70.8,219.0,30.713755625778038,4.81,20.0,29.5,101.0,4.75,
1987,Thomas Henley,Stanford,WR,69.3,174.0,25.470537158848845,4.53,,31.0,108.0,4.22,
1987,Cliff Hicks,Oregon,CB,69.4,192.0,28.02448321969288,4.5,8.0,31.5,116.0,4.34,
1987,Alonzo Highsmith,Miami (FL),FB,72.9,236.0,31.218517201345016,,27.0,34.0,118.0,,
1987,Bruce Hill,Arizona State,WR,71.8,173.0,23.591336193853248,4.49,,30.5,116.0,4.03,
1987,Lonzell Hill,Washington,WR,70.6,190.0,26.797823592196394,4.57,,31.0,113.0,4.11,
1987,Merril Hoge,Idaho State,FB,72.6,210.0,28.00924344876261,4.89,15.0,28.5,100.0,4.09,
1987,John Holifield,West Virginia,RB,71.1,208.0,28.925405670585402,4.55,14.0,30.5,115.0,4.15,
1987,Johnny Holland,Texas A&M,OLB,73.8,226.0,29.17098141171114,4.76,16.0,33.5,124.0,4.36,
1987,Bruce Holmes,Minnesota,OLB,73.9,229.0,29.47826580556323,4.92,15.0,28.0,105.0,4.5,
1987,Darryl Holmes,Fort Valley State (GA),SS,74.4,188.0,23.87631518094577,4.73,2.0,30.5,116.0,4.22,
1987,Jon Horton,Arizona,WR,72.5,186.0,24.876670630202142,4.64,2.0,30.0,116.0,,
1987,Todd Howard,Texas A&M,OLB,74.9,237.0,29.698877542107763,4.8,17.0,28.0,108.0,4.5,
1987,Doug Hudson,Nicholls State (LA),QB,73.8,197.0,25.42780238100484,4.86,,25.0,105.0,4.52,
1987,Mark Ingram,Michigan State,WR,70.6,188.0,26.515741238594327,4.42,8.0,32.0,111.0,4.16,
1987,Jeff Jaeger,Washington,K,71.4,190.0,26.200676348970955,4.96,6.0,26.0,103.0,4.49,
1987,Michael James,Washington State,WR,70.9,185.0,25.872272872855746,4.5,16.0,35.0,117.0,4.37,
1987,Ilia Jarostchuk,New Hampshire,ILB,75.5,231.0,28.48875049339941,4.77,,31.0,116.0,4.43,
1987,Curt Jarvis,Alabama,DT,73.0,266.0,35.09063614186527,5.08,15.0,24.5,92.0,4.69,
1987,Haywood Jeffires,North Carolina State,WR,74.1,191.0,24.454133361015955,4.41,,,,,
1987,Alfred Jenkins,Arizona,RB,75.3,218.0,27.02849513852514,4.74,,31.0,116.0,4.49,
1987,Tim Jessie,Auburn,RB,71.3,190.0,26.274222070976002,,12.0,,,,
1987,Tim Johnson,Penn State,DT,74.0,253.0,32.479729729729726,5.03,20.0,25.0,100.0,4.56,
1987,Walter Johnson,Louisiana Tech,OLB,71.1,240.0,33.375468081444694,4.54,22.0,29.5,116.0,4.36,
1987,Walter Johnson,Pittsburgh,DT,73.0,257.0,33.90335897917058,4.97,20.0,28.5,110.0,4.86,
1987,Will Johnson,Louisiana-Monroe,DE,76.0,232.0,28.236842105263158,,17.0,33.5,115.0,,
1987,Dale Jones,Tennessee,ILB,73.1,223.0,29.337657501202376,4.91,,25.0,101.0,4.55,
1987,Leonard Jones,Texas Tech,FS,73.0,186.0,24.537061362356912,4.64,9.0,31.5,113.0,4.33,
1987,Nelson Jones,North Carolina State,FS,72.8,194.0,25.73322968240551,4.64,6.0,,,,
1987,Rod Jones,Washington,TE,75.3,246.0,30.500044972831123,4.85,14.0,24.0,108.0,4.47,
1987,Tim Jordan,Wisconsin,OLB,75.0,226.0,28.244977777777777,4.6,21.0,28.5,112.0,4.2,
1987,Chris Kelley,Akron,TE,75.0,242.0,30.244622222222226,4.88,13.0,30.0,102.0,4.5,
1987,Larry Kelm,Texas A&M,OLB,75.8,221.0,27.04015566586142,4.83,12.0,30.0,113.0,4.29,
1987,Paul Kiser,Wake Forest,OG,75.6,277.0,34.07151955432379,5.11,,26.0,93.0,4.95,
1987,Wally Kleine,Notre Dame,DE,80.4,299.0,32.51729536397613,5.2,18.0,27.5,99.0,4.74,
1987,Shawn Knight,Brigham Young,DE,78.3,292.0,33.482251353392414,,23.0,,,,
1987,Fred Lane,Georgia,WR,68.4,171.0,25.694444444444443,4.48,2.0,25.0,109.0,4.36,
1987,Gary Lee,Georgia Tech,WR,72.8,195.0,25.86587519623234,4.53,4.0,31.5,117.0,,
1987,John Little,Georgia,FS,73.3,199.0,26.037570097284704,4.66,,29.0,113.0,4.19,
1987,Charles Lockett,Long Beach State (CA),WR,70.6,175.0,24.68220594018089,4.45,3.0,33.0,113.0,4.39,
1987,Danny Lockett,Arizona,OLB,74.0,228.0,29.27027027027027,4.83,21.0,30.5,120.0,4.39,
1987,Joe Macesker,Texas-El Paso,OT,78.5,286.0,32.627368250233275,5.23,22.0,25.5,106.0,5.01,
1987,Milton Mack,Alcorn State (MS),CB,70.6,186.0,26.233658884992263,4.53,12.0,34.5,118.0,4.22,
1987,Terence Mack,Clemson,OLB,75.0,239.0,29.869688888888888,,16.0,26.0,107.0,,
1987,Don Majkowski,Virginia,QB,73.5,199.0,25.89606182609098,4.83,,34.0,116.0,4.13,
1987,Massimo Manca,Penn State,K,69.6,206.0,29.895379178226985,5.18,,21.0,91.0,4.73,
1987,Tim Manoa,Penn State,FB,72.0,232.0,31.461419753086417,4.71,22.0,24.5,106.0,4.35,
1987,Warren Marshall,James Madison (VA),FB,73.1,219.0,28.811421492212197,4.68,14.0,26.5,111.0,4.56,
1987,Willie Marshall,Temple,WR,73.5,183.0,23.813966402887683,4.59,3.0,32.5,120.0,,
1987,Kelvin Martin,Boston College,WR,69.0,160.0,23.625288804872927,4.55,7.0,29.0,112.0,4.14,
1987,Skip Mcclendon,Arizona State,DE,77.0,266.0,31.539551357733174,5.12,12.0,28.0,112.0,4.52,
1987,David Mccluskey,Georgia,FB,72.0,221.0,29.969714506172842,4.71,,22.5,101.0,4.37,
1987,Tim Mcdonald,Southern California,SS,74.5,207.0,26.21881897211837,4.72,6.0,33.0,122.0,4.27,
1987,Thomas Mchale,Cornell (NY),DE,76.0,271.0,32.98355263157895,5.21,,25.0,,4.61,
1987,Keith Mckeller,Jacksonville State (FL),TE,76.3,244.0,29.464296449999917,4.84,16.0,31.0,111.0,4.63,
1987,Ron Mclean,Cal-State Fullerton,DE,75.5,267.0,32.928555765098025,4.99,20.0,24.0,114.0,4.68,
1987,Bruce Mesner,Maryland,DT,76.9,279.0,33.16705024511254,,20.0,,,,
